PvEstimate,PvEstimate10,PvEstimate90,timestamp,Period
0,0,0,2024-04-18T12:30:00Z,PT30M
0,0,0,2024-04-18T13:00:00Z,PT30M
0,0,0,2024-04-18T13:30:00Z,PT30M
0,0,0,2024-04-18T14:00:00Z,PT30M
0,0,0,2024-04-18T14:30:00Z,PT30M
0,0,0,2024-04-18T15:00:00Z,PT30M
0,0,0,2024-04-18T15:30:00Z,PT30M
0,0,0,2024-04-18T16:00:00Z,PT30M
0,0,0,2024-04-18T16:30:00Z,PT30M
0,0,0,2024-04-18T17:00:00Z,PT30M
0,0,0,2024-04-18T17:30:00Z,PT30M
0,0,0,2024-04-18T18:00:00Z,PT30M
0,0,0,2024-04-18T18:30:00Z,PT30M
0,0,0,2024-04-18T19:00:00Z,PT30M
0,0,0,2024-04-18T19:30:00Z,PT30M
0,0,0,2024-04-18T20:00:00Z,PT30M
0,0,0,2024-04-18T20:30:00Z,PT30M
0,0,0,2024-04-18T21:00:00Z,PT30M
0.0321,0.008,0.0397,2024-04-18T21:30:00Z,PT30M
0.3765,0.1524,0.5762,2024-04-18T22:00:00Z,PT30M
1.4129,0.5687,1.7697,2024-04-18T22:30:00Z,PT30M
2.5591,1.4378,2.9975,2024-04-18T23:00:00Z,PT30M
3.6273,2.193,4.1447,2024-04-18T23:30:00Z,PT30M
4.6608,2.8262,5.1909,2024-04-19T00:00:00Z,PT30M
5.6159,3.2264,6.0897,2024-04-19T00:30:00Z,PT30M
6.2906,3.5084,6.8635,2024-04-19T01:00:00Z,PT30M
6.5857,3.6696,7.4455,2024-04-19T01:30:00Z,PT30M
6.6888,3.6453,7.9093,2024-04-19T02:00:00Z,PT30M
6.6643,3.5909,8.1421,2024-04-19T02:30:00Z,PT30M
6.5767,3.5909,8.2314,2024-04-19T03:00:00Z,PT30M
6.518,3.5909,8.1528,2024-04-19T03:30:00Z,PT30M
6.4471,3.5907,7.8911,2024-04-19T04:00:00Z,PT30M
6.264,3.5647,7.4748,2024-04-19T04:30:00Z,PT30M
5.9967,3.4992,6.9037,2024-04-19T05:00:00Z,PT30M
5.3961,3.3056,6.152,2024-04-19T05:30:00Z,PT30M
4.5159,2.9578,5.236,2024-04-19T06:00:00Z,PT30M
3.5823,2.3768,4.2129,2024-04-19T06:30:00Z,PT30M
2.5474,1.6404,3.0547,2024-04-19T07:00:00Z,PT30M
1.4445,0.767,1.8207,2024-04-19T07:30:00Z,PT30M
0.4165,0.2203,0.6261,2024-04-19T08:00:00Z,PT30M
0.0318,0.0159,0.0391,2024-04-19T08:30:00Z,PT30M
0,0,0,2024-04-19T09:00:00Z,PT30M
0,0,0,2024-04-19T09:30:00Z,PT30M
0,0,0,2024-04-19T10:00:00Z,PT30M
0,0,0,2024-04-19T10:30:00Z,PT30M
0,0,0,2024-04-19T11:00:00Z,PT30M
0,0,0,2024-04-19T11:30:00Z,PT30M
0,0,0,2024-04-19T12:00:00Z,PT30M
0,0,0,2024-04-19T12:30:00Z,PT30M
0,0,0,2024-04-19T13:00:00Z,PT30M
0,0,0,2024-04-19T13:30:00Z,PT30M
0,0,0,2024-04-19T14:00:00Z,PT30M
0,0,0,2024-04-19T14:30:00Z,PT30M
0,0,0,2024-04-19T15:00:00Z,PT30M
0,0,0,2024-04-19T15:30:00Z,PT30M
0,0,0,2024-04-19T16:00:00Z,PT30M
0,0,0,2024-04-19T16:30:00Z,PT30M
0,0,0,2024-04-19T17:00:00Z,PT30M
0,0,0,2024-04-19T17:30:00Z,PT30M
0,0,0,2024-04-19T18:00:00Z,PT30M
0,0,0,2024-04-19T18:30:00Z,PT30M
0,0,0,2024-04-19T19:00:00Z,PT30M
0,0,0,2024-04-19T19:30:00Z,PT30M
0,0,0,2024-04-19T20:00:00Z,PT30M
0,0,0,2024-04-19T20:30:00Z,PT30M
0,0,0,2024-04-19T21:00:00Z,PT30M
0.041,0.0334,0.041,2024-04-19T21:30:00Z,PT30M
0.5748,0.3871,0.6496,2024-04-19T22:00:00Z,PT30M
1.7458,1.3763,1.8824,2024-04-19T22:30:00Z,PT30M
2.9375,2.5328,3.1316,2024-04-19T23:00:00Z,PT30M
4.0773,3.575,4.2965,2024-04-19T23:30:00Z,PT30M
5.2402,4.6096,5.345,2024-04-20T00:00:00Z,PT30M
6.2537,5.6114,6.2537,2024-04-20T00:30:00Z,PT30M
6.985,6.4443,6.985,2024-04-20T01:00:00Z,PT30M
7.5316,7.029,7.5316,2024-04-20T01:30:00Z,PT30M
7.9288,7.4584,7.9288,2024-04-20T02:00:00Z,PT30M
8.1727,7.7579,8.1727,2024-04-20T02:30:00Z,PT30M
8.2285,7.8763,8.2285,2024-04-20T03:00:00Z,PT30M
8.0967,7.8384,8.0967,2024-04-20T03:30:00Z,PT30M
7.8553,7.6729,7.8553,2024-04-20T04:00:00Z,PT30M
7.4277,7.3371,7.4277,2024-04-20T04:30:00Z,PT30M
6.8412,6.8242,6.8412,2024-04-20T05:00:00Z,PT30M
6.1019,5.904,6.1019,2024-04-20T05:30:00Z,PT30M
5.1932,4.7883,5.1932,2024-04-20T06:00:00Z,PT30M
4.155,3.7422,4.155,2024-04-20T06:30:00Z,PT30M
3.0225,2.6826,3.0225,2024-04-20T07:00:00Z,PT30M
